iter	Passed	Remaining
0	4	468
1	8	439
2	12	418
3	17	408
4	21	412
5	26	412
6	30	404
7	34	401
8	40	404
9	44	400
10	48	393
11	53	393
12	58	388
13	62	382
14	66	376
15	71	372
16	75	367
17	79	362
18	84	358
19	88	354
20	92	349
21	96	343
22	101	339
23	105	333
24	109	328
25	113	324
26	118	319
27	122	316
28	127	311
29	132	308
30	136	304
31	141	299
32	145	294
33	149	290
34	154	286
35	158	281
36	163	277
37	167	273
38	172	269
39	176	264
40	180	260
41	184	255
42	189	250
43	193	246
44	198	242
45	203	238
46	207	234
47	212	229
48	216	225
49	221	221
50	226	217
51	232	214
52	236	209
53	241	205
54	245	201
55	250	196
56	254	192
57	259	187
58	264	183
59	268	178
60	272	174
61	277	170
62	282	166
63	285	160
64	291	157
65	297	153
66	302	149
67	308	145
68	314	141
69	319	137
70	325	132
71	329	128
72	334	123
73	340	119
74	345	115
75	350	110
76	357	106
77	362	102
78	367	97
79	374	93
80	381	89
81	390	85
82	398	81
83	405	77
84	410	72
85	415	67
86	421	63
87	426	58
88	431	53
89	436	48
90	440	43
91	444	38
92	449	33
93	454	28
94	458	24
95	462	19
96	467	14
97	471	9
98	475	4
99	480	0
