iter	Passed	Remaining
0	157	157570
1	162	81266
2	168	56066
3	173	43179
4	178	35540
5	185	30688
6	190	27050
7	196	24348
8	202	22335
9	207	20587
10	212	19109
11	219	18095
12	224	17071
13	230	16265
14	236	15526
15	241	14856
16	247	14339
17	253	13852
18	259	13384
19	268	13132
20	274	12776
21	283	12582
22	288	12272
23	303	12323
24	308	12037
25	317	11888
26	323	11641
27	333	11561
28	338	11330
29	345	11184
30	351	10983
31	357	10819
32	363	10649
33	368	10477
34	375	10344
35	380	10176
36	384	10008
37	391	9912
38	396	9766
39	401	9647
40	408	9544
41	412	9414
42	421	9380
43	428	9308
44	434	9222
45	439	9122
46	445	9025
47	450	8939
48	456	8851
49	461	8762
50	466	8685
51	471	8602
52	477	8524
53	483	8472
54	488	8397
55	493	8314
56	499	8263
57	505	8203
58	510	8145
59	518	8129
60	523	8065
61	531	8048
62	539	8017
63	544	7958
64	550	7923
65	555	7866
66	562	7831
67	568	7789
68	575	7765
69	582	7738
70	587	7693
71	593	7654
72	599	7618
73	604	7565
74	610	7525
75	616	7492
76	620	7439
77	625	7393
78	630	7351
79	635	7307
80	639	7260
81	645	7227
82	650	7184
83	654	7137
84	660	7106
85	665	7071
86	669	7025
87	674	6987
88	679	6955
89	685	6926
90	689	6887
91	694	6855
92	699	6817
93	704	6787
94	710	6770
95	715	6741
96	721	6712
97	727	6698
98	733	6675
99	739	6657
100	745	6632
101	749	6600
102	754	6570
103	758	6534
104	762	6500
105	766	6465
106	771	6439
107	775	6405
108	779	6370
109	783	6336
110	788	6311
111	791	6277
112	795	6245
113	799	6216
114	804	6194
115	810	6179
116	816	6163
117	822	6145
118	828	6131
119	833	6113
120	839	6097
121	845	6085
122	851	6072
123	856	6053
124	862	6036
125	867	6019
126	872	5995
127	877	5975
128	881	5954
129	887	5939
130	892	5922
131	898	5907
132	903	5887
133	908	5871
134	913	5850
135	918	5833
136	923	5818
137	928	5797
138	932	5777
139	937	5755
140	940	5731
141	945	5713
142	949	5692
